center_stream_index	center_reference	window_size	movement_sequence	continuity_sequence	reason_sequence
806	14:26	5	"[""candidate"", ""candidate"", ""strong"", ""strong"", ""none""]"	"[""same"", ""same"", ""shift"", ""shift"", ""same""]"	"[[""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], []]"
807	14:26	5	"[""candidate"", ""strong"", ""strong"", ""none"", ""none""]"	"[""same"", ""shift"", ""shift"", ""same"", ""same""]"	"[[""independence_transition"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [], []]"
815	14:28	5	"[""none"", ""none"", ""candidate"", ""candidate"", ""none""]"	"[""same"", ""same"", ""same"", ""same"", ""same""]"	"[[], [], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], []]"
816	14:28	5	"[""none"", ""candidate"", ""candidate"", ""none"", ""candidate""]"	"[""same"", ""same"", ""same"", ""same"", ""shift""]"	"[[], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [], [""number_change"", ""subject_shift""]]"
818	14:29	5	"[""candidate"", ""none"", ""candidate"", ""none"", ""strong""]"	"[""same"", ""same"", ""shift"", ""same"", ""shift""]"	"[[""independence_transition"", ""subordination_transition""], [], [""number_change"", ""subject_shift""], [], [""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""]]"
820	14:30	5	"[""candidate"", ""none"", ""strong"", ""candidate"", ""strong""]"	"[""shift"", ""same"", ""shift"", ""same"", ""shift""]"	"[[""number_change"", ""subject_shift""], [], [""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""]]"
821	14:30	5	"[""none"", ""strong"", ""candidate"", ""strong"", ""strong""]"	"[""same"", ""shift"", ""same"", ""shift"", ""shift""]"	"[[], [""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""]]"
822	14:31	5	"[""strong"", ""candidate"", ""strong"", ""strong"", ""candidate""]"	"[""shift"", ""same"", ""shift"", ""shift"", ""same""]"	"[[""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""]]"
823	14:31	5	"[""candidate"", ""strong"", ""strong"", ""candidate"", ""candidate""]"	"[""same"", ""shift"", ""shift"", ""same"", ""shift""]"	"[[""independence_transition"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""number_change"", ""subject_shift""]]"
824	14:31	5	"[""strong"", ""strong"", ""candidate"", ""candidate"", ""none""]"	"[""shift"", ""shift"", ""same"", ""shift"", ""same""]"	"[[""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""number_change"", ""subject_shift""], []]"
825	14:32	5	"[""strong"", ""candidate"", ""candidate"", ""none"", ""candidate""]"	"[""shift"", ""same"", ""shift"", ""same"", ""shift""]"	"[[""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""number_change"", ""subject_shift""], [], [""number_change"", ""subject_shift""]]"
827	14:34	5	"[""candidate"", ""none"", ""candidate"", ""candidate"", ""candidate""]"	"[""shift"", ""same"", ""shift"", ""shift"", ""shift""]"	"[[""number_change"", ""subject_shift""], [], [""number_change"", ""subject_shift""], [""number_change"", ""subject_shift""], [""number_change"", ""subject_shift""]]"
828	14:34	5	"[""none"", ""candidate"", ""candidate"", ""candidate"", ""strong""]"	"[""same"", ""shift"", ""shift"", ""shift"", ""shift""]"	"[[], [""number_change"", ""subject_shift""], [""number_change"", ""subject_shift""], [""number_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""]]"
829	14:34	5	"[""candidate"", ""candidate"", ""candidate"", ""strong"", ""candidate""]"	"[""shift"", ""shift"", ""shift"", ""shift"", ""shift""]"	"[[""number_change"", ""subject_shift""], [""number_change"", ""subject_shift""], [""number_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""subject_shift""]]"
830	14:34	5	"[""candidate"", ""candidate"", ""strong"", ""candidate"", ""candidate""]"	"[""shift"", ""shift"", ""shift"", ""shift"", ""same""]"	"[[""number_change"", ""subject_shift""], [""number_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""]]"
831	14:35	5	"[""candidate"", ""strong"", ""candidate"", ""candidate"", ""candidate""]"	"[""shift"", ""shift"", ""shift"", ""same"", ""shift""]"	"[[""number_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""], [""number_change"", ""subject_shift""]]"
832	14:35	5	"[""strong"", ""candidate"", ""candidate"", ""candidate"", ""none""]"	"[""shift"", ""shift"", ""same"", ""shift"", ""same""]"	"[[""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""], [""number_change"", ""subject_shift""], []]"
833	14:35	5	"[""candidate"", ""candidate"", ""candidate"", ""none"", ""none""]"	"[""shift"", ""same"", ""shift"", ""same"", ""same""]"	"[[""number_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""], [""number_change"", ""subject_shift""], [], []]"
836	14:37	5	"[""none"", ""none"", ""candidate"", ""candidate"", ""candidate""]"	"[""same"", ""same"", ""same"", ""same"", ""shift""]"	"[[], [], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""person_change"", ""subject_shift""]]"
837	14:37	5	"[""none"", ""candidate"", ""candidate"", ""candidate"", ""strong""]"	"[""same"", ""same"", ""same"", ""shift"", ""shift""]"	"[[], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""person_change"", ""subject_shift""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""]]"
838	14:37	5	"[""candidate"", ""candidate"", ""candidate"", ""strong"", ""none""]"	"[""same"", ""same"", ""shift"", ""shift"", ""same""]"	"[[""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""person_change"", ""subject_shift""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], []]"
839	14:37	5	"[""candidate"", ""candidate"", ""strong"", ""none"", ""candidate""]"	"[""same"", ""shift"", ""shift"", ""same"", ""same""]"	"[[""independence_transition"", ""subordination_transition""], [""person_change"", ""subject_shift""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [], [""independence_transition"", ""subordination_transition""]]"
841	14:38	5	"[""strong"", ""none"", ""candidate"", ""strong"", ""candidate""]"	"[""shift"", ""same"", ""same"", ""shift"", ""same""]"	"[[""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""]]"
842	14:39	5	"[""none"", ""candidate"", ""strong"", ""candidate"", ""strong""]"	"[""same"", ""same"", ""shift"", ""same"", ""shift""]"	"[[], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""]]"
843	14:39	5	"[""candidate"", ""strong"", ""candidate"", ""strong"", ""candidate""]"	"[""same"", ""shift"", ""same"", ""shift"", ""shift""]"	"[[""independence_transition"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [""person_change"", ""subject_shift""]]"
844	14:40	5	"[""strong"", ""candidate"", ""strong"", ""candidate"", ""none""]"	"[""shift"", ""same"", ""shift"", ""shift"", ""same""]"	"[[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [""person_change"", ""subject_shift""], []]"
845	15:1	5	"[""candidate"", ""strong"", ""candidate"", ""none"", ""strong""]"	"[""same"", ""shift"", ""shift"", ""same"", ""shift""]"	"[[""independence_transition"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [""person_change"", ""subject_shift""], [], [""number_change"", ""person_change"", ""subject_shift""]]"
847	15:1	5	"[""candidate"", ""none"", ""strong"", ""none"", ""none""]"	"[""shift"", ""same"", ""shift"", ""same"", ""same""]"	"[[""person_change"", ""subject_shift""], [], [""number_change"", ""person_change"", ""subject_shift""], [], []]"
850	15:2	5	"[""none"", ""none"", ""strong"", ""strong"", ""none""]"	"[""same"", ""same"", ""shift"", ""shift"", ""same""]"	"[[], [], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], []]"
851	15:2	5	"[""none"", ""strong"", ""strong"", ""none"", ""strong""]"	"[""same"", ""shift"", ""shift"", ""same"", ""shift""]"	"[[], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]]"
853	15:3	5	"[""strong"", ""none"", ""strong"", ""none"", ""strong""]"	"[""shift"", ""same"", ""shift"", ""same"", ""shift""]"	"[[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""]]"
855	15:3	5	"[""strong"", ""none"", ""strong"", ""none"", ""none""]"	"[""shift"", ""same"", ""shift"", ""same"", ""same""]"	"[[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [], []]"
859	15:6	5	"[""none"", ""none"", ""candidate"", ""candidate"", ""none""]"	"[""same"", ""same"", ""same"", ""shift"", ""same""]"	"[[], [], [""independence_transition"", ""subordination_transition""], [""number_change"", ""subject_shift""], []]"
860	15:6	5	"[""none"", ""candidate"", ""candidate"", ""none"", ""candidate""]"	"[""same"", ""same"", ""shift"", ""same"", ""shift""]"	"[[], [""independence_transition"", ""subordination_transition""], [""number_change"", ""subject_shift""], [], [""number_change"", ""subject_shift""]]"
862	15:7	5	"[""candidate"", ""none"", ""candidate"", ""none"", ""candidate""]"	"[""shift"", ""same"", ""shift"", ""same"", ""shift""]"	"[[""number_change"", ""subject_shift""], [], [""number_change"", ""subject_shift""], [], [""person_change"", ""subject_shift""]]"
864	15:9	5	"[""candidate"", ""none"", ""candidate"", ""none"", ""none""]"	"[""shift"", ""same"", ""shift"", ""same"", ""same""]"	"[[""number_change"", ""subject_shift""], [], [""person_change"", ""subject_shift""], [], []]"
869	15:10	5	"[""none"", ""none"", ""candidate"", ""candidate"", ""candidate""]"	"[""same"", ""same"", ""shift"", ""shift"", ""shift""]"	"[[], [], [""person_change"", ""subject_shift""], [""person_change"", ""subject_shift""], [""number_change"", ""subject_shift""]]"
870	15:10	5	"[""none"", ""candidate"", ""candidate"", ""candidate"", ""candidate""]"	"[""same"", ""shift"", ""shift"", ""shift"", ""shift""]"	"[[], [""person_change"", ""subject_shift""], [""person_change"", ""subject_shift""], [""number_change"", ""subject_shift""], [""person_change"", ""subject_shift""]]"
871	15:11	5	"[""candidate"", ""candidate"", ""candidate"", ""candidate"", ""strong""]"	"[""shift"", ""shift"", ""shift"", ""shift"", ""shift""]"	"[[""person_change"", ""subject_shift""], [""person_change"", ""subject_shift""], [""number_change"", ""subject_shift""], [""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]]"
872	15:11	5	"[""candidate"", ""candidate"", ""candidate"", ""strong"", ""none""]"	"[""shift"", ""shift"", ""shift"", ""shift"", ""same""]"	"[[""person_change"", ""subject_shift""], [""number_change"", ""subject_shift""], [""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], []]"
873	15:12	5	"[""candidate"", ""candidate"", ""strong"", ""none"", ""strong""]"	"[""shift"", ""shift"", ""shift"", ""same"", ""shift""]"	"[[""number_change"", ""subject_shift""], [""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [], [""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""]]"
875	15:12	5	"[""strong"", ""none"", ""strong"", ""strong"", ""none""]"	"[""shift"", ""same"", ""shift"", ""shift"", ""same""]"	"[[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [], [""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""], []]"
876	15:12	5	"[""none"", ""strong"", ""strong"", ""none"", ""candidate""]"	"[""same"", ""shift"", ""shift"", ""same"", ""same""]"	"[[], [""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""], [], [""independence_transition"", ""subordination_transition""]]"
878	15:13	5	"[""strong"", ""none"", ""candidate"", ""candidate"", ""strong""]"	"[""shift"", ""same"", ""same"", ""same"", ""shift""]"	"[[""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""], [], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]]"
879	15:14	5	"[""none"", ""candidate"", ""candidate"", ""strong"", ""candidate""]"	"[""same"", ""same"", ""same"", ""shift"", ""same""]"	"[[], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""]]"
880	15:15	5	"[""candidate"", ""candidate"", ""strong"", ""candidate"", ""strong""]"	"[""same"", ""same"", ""shift"", ""same"", ""shift""]"	"[[""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""]]"
881	15:15	5	"[""candidate"", ""strong"", ""candidate"", ""strong"", ""candidate""]"	"[""same"", ""shift"", ""same"", ""shift"", ""same""]"	"[[""independence_transition"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""]]"
882	15:15	5	"[""strong"", ""candidate"", ""strong"", ""candidate"", ""candidate""]"	"[""shift"", ""same"", ""shift"", ""same"", ""shift""]"	"[[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""], [""number_change"", ""subject_shift""]]"
883	15:15	5	"[""candidate"", ""strong"", ""candidate"", ""candidate"", ""candidate""]"	"[""same"", ""shift"", ""same"", ""shift"", ""same""]"	"[[""independence_transition"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""], [""number_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""]]"
884	15:15	5	"[""strong"", ""candidate"", ""candidate"", ""candidate"", ""strong""]"	"[""shift"", ""same"", ""shift"", ""same"", ""shift""]"	"[[""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""], [""number_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""]]"
885	15:16	5	"[""candidate"", ""candidate"", ""candidate"", ""strong"", ""candidate""]"	"[""same"", ""shift"", ""same"", ""shift"", ""same""]"	"[[""independence_transition"", ""subordination_transition""], [""number_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""]]"
886	15:16	5	"[""candidate"", ""candidate"", ""strong"", ""candidate"", ""strong""]"	"[""shift"", ""same"", ""shift"", ""same"", ""shift""]"	"[[""number_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]]"
887	15:17	5	"[""candidate"", ""strong"", ""candidate"", ""strong"", ""candidate""]"	"[""same"", ""shift"", ""same"", ""shift"", ""shift""]"	"[[""independence_transition"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""person_change"", ""subject_shift""]]"
888	15:17	5	"[""strong"", ""candidate"", ""strong"", ""candidate"", ""strong""]"	"[""shift"", ""same"", ""shift"", ""shift"", ""shift""]"	"[[""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""person_change"", ""subject_shift""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""]]"
889	15:18	5	"[""candidate"", ""strong"", ""candidate"", ""strong"", ""candidate""]"	"[""same"", ""shift"", ""shift"", ""shift"", ""same""]"	"[[""independence_transition"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""person_change"", ""subject_shift""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""]]"
890	15:19	5	"[""strong"", ""candidate"", ""strong"", ""candidate"", ""strong""]"	"[""shift"", ""shift"", ""shift"", ""same"", ""shift""]"	"[[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""person_change"", ""subject_shift""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""]]"
891	15:19	5	"[""candidate"", ""strong"", ""candidate"", ""strong"", ""candidate""]"	"[""shift"", ""shift"", ""same"", ""shift"", ""shift""]"	"[[""person_change"", ""subject_shift""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [""number_change"", ""subject_shift""]]"
892	15:20	5	"[""strong"", ""candidate"", ""strong"", ""candidate"", ""none""]"	"[""shift"", ""same"", ""shift"", ""shift"", ""same""]"	"[[""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [""number_change"", ""subject_shift""], []]"
893	15:22	5	"[""candidate"", ""strong"", ""candidate"", ""none"", ""strong""]"	"[""same"", ""shift"", ""shift"", ""same"", ""shift""]"	"[[""independence_transition"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [""number_change"", ""subject_shift""], [], [""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""]]"
895	15:24	5	"[""candidate"", ""none"", ""strong"", ""none"", ""candidate""]"	"[""shift"", ""same"", ""shift"", ""same"", ""same""]"	"[[""number_change"", ""subject_shift""], [], [""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""], [], [""independence_transition"", ""subordination_transition""]]"
897	15:25	5	"[""strong"", ""none"", ""candidate"", ""none"", ""none""]"	"[""shift"", ""same"", ""same"", ""same"", ""same""]"	"[[""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""], [], [""independence_transition"", ""subordination_transition""], [], []]"
901	15:27	5	"[""none"", ""none"", ""candidate"", ""none"", ""none""]"	"[""same"", ""same"", ""same"", ""same"", ""same""]"	"[[], [], [""independence_transition"", ""subordination_transition""], [], []]"
904	15:28	5	"[""none"", ""none"", ""candidate"", ""candidate"", ""candidate""]"	"[""same"", ""same"", ""same"", ""same"", ""shift""]"	"[[], [], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""number_change"", ""subject_shift""]]"
905	15:28	5	"[""none"", ""candidate"", ""candidate"", ""candidate"", ""none""]"	"[""same"", ""same"", ""same"", ""shift"", ""same""]"	"[[], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""number_change"", ""subject_shift""], []]"
906	15:29	5	"[""candidate"", ""candidate"", ""candidate"", ""none"", ""candidate""]"	"[""same"", ""same"", ""shift"", ""same"", ""same""]"	"[[""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""number_change"", ""subject_shift""], [], [""independence_transition"", ""subordination_transition""]]"
908	15:29	5	"[""candidate"", ""none"", ""candidate"", ""candidate"", ""candidate""]"	"[""shift"", ""same"", ""same"", ""shift"", ""shift""]"	"[[""number_change"", ""subject_shift""], [], [""independence_transition"", ""subordination_transition""], [""person_change"", ""subject_shift""], [""number_change"", ""subject_shift""]]"
909	15:30	5	"[""none"", ""candidate"", ""candidate"", ""candidate"", ""none""]"	"[""same"", ""same"", ""shift"", ""shift"", ""same""]"	"[[], [""independence_transition"", ""subordination_transition""], [""person_change"", ""subject_shift""], [""number_change"", ""subject_shift""], []]"
910	15:31	5	"[""candidate"", ""candidate"", ""candidate"", ""none"", ""candidate""]"	"[""same"", ""shift"", ""shift"", ""same"", ""same""]"	"[[""independence_transition"", ""subordination_transition""], [""person_change"", ""subject_shift""], [""number_change"", ""subject_shift""], [], [""independence_transition"", ""subordination_transition""]]"
912	15:32	5	"[""candidate"", ""none"", ""candidate"", ""strong"", ""strong""]"	"[""shift"", ""same"", ""same"", ""shift"", ""shift""]"	"[[""number_change"", ""subject_shift""], [], [""independence_transition"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""]]"
913	15:32	5	"[""none"", ""candidate"", ""strong"", ""strong"", ""none""]"	"[""same"", ""same"", ""shift"", ""shift"", ""same""]"	"[[], [""independence_transition"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], []]"
914	15:32	5	"[""candidate"", ""strong"", ""strong"", ""none"", ""none""]"	"[""same"", ""shift"", ""shift"", ""same"", ""same""]"	"[[""independence_transition"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [], []]"
917	15:33	5	"[""none"", ""none"", ""candidate"", ""candidate"", ""candidate""]"	"[""same"", ""same"", ""shift"", ""shift"", ""shift""]"	"[[], [], [""person_change"", ""subject_shift""], [""person_change"", ""subject_shift""], [""person_change"", ""subject_shift""]]"
918	15:33	5	"[""none"", ""candidate"", ""candidate"", ""candidate"", ""none""]"	"[""same"", ""shift"", ""shift"", ""shift"", ""same""]"	"[[], [""person_change"", ""subject_shift""], [""person_change"", ""subject_shift""], [""person_change"", ""subject_shift""], []]"
919	15:34	5	"[""candidate"", ""candidate"", ""candidate"", ""none"", ""candidate""]"	"[""shift"", ""shift"", ""shift"", ""same"", ""shift""]"	"[[""person_change"", ""subject_shift""], [""person_change"", ""subject_shift""], [""person_change"", ""subject_shift""], [], [""person_change"", ""subject_shift""]]"
921	15:34	5	"[""candidate"", ""none"", ""candidate"", ""strong"", ""candidate""]"	"[""shift"", ""same"", ""shift"", ""shift"", ""shift""]"	"[[""person_change"", ""subject_shift""], [], [""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], [""person_change"", ""subject_shift""]]"
922	15:34	5	"[""none"", ""candidate"", ""strong"", ""candidate"", ""candidate""]"	"[""same"", ""shift"", ""shift"", ""shift"", ""shift""]"	"[[], [""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], [""person_change"", ""subject_shift""], [""number_change"", ""subject_shift""]]"
923	15:35	5	"[""candidate"", ""strong"", ""candidate"", ""candidate"", ""none""]"	"[""shift"", ""shift"", ""shift"", ""shift"", ""same""]"	"[[""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], [""person_change"", ""subject_shift""], [""number_change"", ""subject_shift""], []]"
924	15:35	5	"[""strong"", ""candidate"", ""candidate"", ""none"", ""strong""]"	"[""shift"", ""shift"", ""shift"", ""same"", ""shift""]"	"[[""number_change"", ""person_change"", ""subject_shift""], [""person_change"", ""subject_shift""], [""number_change"", ""subject_shift""], [], [""number_change"", ""person_change"", ""subject_shift""]]"
926	15:36	5	"[""candidate"", ""none"", ""strong"", ""candidate"", ""candidate""]"	"[""shift"", ""same"", ""shift"", ""shift"", ""same""]"	"[[""number_change"", ""subject_shift""], [], [""number_change"", ""person_change"", ""subject_shift""], [""person_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""]]"
927	15:36	5	"[""none"", ""strong"", ""candidate"", ""candidate"", ""strong""]"	"[""same"", ""shift"", ""shift"", ""same"", ""shift""]"	"[[], [""number_change"", ""person_change"", ""subject_shift""], [""person_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""]]"
928	15:36	5	"[""strong"", ""candidate"", ""candidate"", ""strong"", ""none""]"	"[""shift"", ""shift"", ""same"", ""shift"", ""same""]"	"[[""number_change"", ""person_change"", ""subject_shift""], [""person_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], []]"
929	15:37	5	"[""candidate"", ""candidate"", ""strong"", ""none"", ""strong""]"	"[""shift"", ""same"", ""shift"", ""same"", ""shift""]"	"[[""person_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""]]"
931	15:37	5	"[""strong"", ""none"", ""strong"", ""candidate"", ""candidate""]"	"[""shift"", ""same"", ""shift"", ""same"", ""same""]"	"[[""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""]]"
